smsa_name_clean,smsa_name_corrected
"ABILENE, TEX","ABILENE, TEX"
"AKRON, OHIO","AKRON, OHIO"
"ALBANY, GA","ALBANY, GA"
"ALBANY-SCHENECTADY-TROY, NY","ALBANY-SCHENECTADY-TROY, NY"
"ALBUQUERQUE, N MEX","ALBUQUERQUE, NMEX"
"ALBUQUERQUE, NMEX","ALBUQUERQUE, NMEX"
"ALEXANDRIA, LA","ALEXANDRIA, LA"
ALLENTOWN-BETH-EASTON PA-NJ,"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ","ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"
"ALTOONA, PA","ALTOONA, PA"
"AMARILLO, TEX","AMARILLO, TEX"
"ANAHEIM-SANTA ANA-GARDEN GR, CALIF","ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF"
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF","ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF"
"ANCHORAGE, ALASKA","ANCHORAGE, ALASKA"
"ANDERSON, IND","ANDERSON, IND"
"ANN ARBOR, MICH","ANN ARBOR, MICH"
"ANNISTON, ALA","ANNISTON, ALA"
"APPLETON-OSHKOSH, WIS","APPLETON-OSHKOSH, WIS"
"ASHEVILLE, NC","ASHEVILLE, NC"
"ATLANTA, GA","ATLANTA, GA"
"ATLANTIC CITY, NJ","ATLANTIC CITY, NJ"
"AUGUSTA, GA-SC","AUGUSTA, GA-SC"
"AUSTIN, TEX","AUSTIN, TEX"
"BAKERSFIELD, CALIF","BAKERSFIELD, CALIF"
"BALTIMORE, MD","BALTIMORE, MD"
"BATON ROUGE, LA","BATON ROUGE, LA"
"BATTLE CREEK, MICH","BATTLE CREEK, MICH"
"BAY CITY, MICH","BAY CITY, MICH"
"BEAUMONT-PORT ARTHUR-ORANGE,","BEAUMONT-PORT ARTHUR-ORANGE, TEX"
"BEAUMONT-PORT ARTHUR-ORANGE, TEX","BEAUMONT-PORT ARTHUR-ORANGE, TEX"
"BILLINGS, MONT","BILLINGS, MONT"
"BILOXI-GULFPORT, MISS","BILOXI-GULFPORT, MISS"
"BINGHAMTON, NY-PA","BINGHAMTON, NY-PA"
"BIRMINGHAM, ALA","BIRMINGHAM, ALA"
"BISMARCK, ND","BISMARCK, ND"
"BLOOMINGTON, IND","BLOOMINGTON, IND"
"BLOOMINGTON-NORMAL, ILL","BLOOMINGTON-NORMAL, ILL"
"BOISE CITY, IDAHO","BOISE CITY, IDAHO"
"BOSTON, MASS","BOSTON, MASS"
"BRADENTON, FLA","BRADENTON, FLA"
"BRIDGEPORT, CONN","BRIDGEPORT, CONN"
"BRISTOL, CONN","BRISTOL, CONN"
"BROCKTON, MASS","BROCKTON, MASS"
BROWNSVILLE-HARLINGEN-,"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX"
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX","BROWNSVILLE-HARLINGEN-SAN BENITO, TEX"
"BRYAN-COLLEGE STATION, TEX","BRYAN-COLLEGE STATION, TEX"
"BUFFALO, NY","BUFFALO, NY"
"BURLINGTON, NC","BURLINGTON, NC"
"CANTON, OHIO","CANTON, OHIO"
"CEDAR RAPIDS, IOWA","CEDAR RAPIDS, IOWA"
"CHAMPAIGN-URBANA, ILL","CHAMPAIGN-URBANA-RANTOUL, ILL"
"CHAMPAIGN-URBANA-RANTOUL, ILL","CHAMPAIGN-URBANA-RANTOUL, ILL"
"CHARLESTON, SC","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLESTON, WVA","CHARLESTON, WVA"
"CHARLESTON-NORTH CHARLESTON,","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLESTON-NORTH CHARLESTON, SC","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLOTTE, NC","CHARLOTTE-GASTONIA, NC"
"CHARLOTTE-GASTONIA, NC","CHARLOTTE-GASTONIA, NC"
"CHATTANOOGA, TENN-GA","CHATTANOOGA, TENN-GA"
"CHICAGO, ILL","CHICAGO, ILL"
"CINCINNATI, OHIO-KY-IND","CINCINNATI, OHIO-KY-IND"
CLARKSVILLE-HOPKINSVILLE,"CLARKSVILLE-HOPKINSVILLE, TENN-KY"
CLARKSVILLE-HOPKINSVILLE TENN-KY,"CLARKSVILLE-HOPKINSVILLE, TENN-KY"
"CLEVELAND, OHIO","CLEVELAND, OHIO"
"COLORADO SPRINGS, COLO","COLORADO SPRINGS, COLO"
"COLUMBIA, MO","COLUMBIA, MO"
"COLUMBIA, SC","COLUMBIA, SC"
"COLUMBUS, GA-ALA","COLUMBUS, GA-ALA"
"COLUMBUS, OHIO","COLUMBUS, OHIO"
"CORPUS CHRISTI, TEX","CORPUS CHRISTI, TEX"
"DALLAS, TEX","DALLAS-FORT WORTH, TEX"
"DALLAS-FORT WORTH, TEX","DALLAS-FORT WORTH, TEX"
"DANBURY, CONN","DANBURY, CONN"
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL","DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL"
DAVENPORT-ROCK ISLAND-MOLINE; IOWA-ILL,"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL"
"DAYTON, OHIO","DAYTON, OHIO"
"DAYTONA BEACH, FLA","DAYTONA BEACH, FLA"
"DECATUR, ILL","DECATUR, ILL"
"DENVER, COLO","DENVER-BOULDER, COLO"
"DENVER-BOULDER, COLO","DENVER-BOULDER, COLO"
"DES MOINES, IOWA","DES MOINES, IOWA"
"DETROIT, MICH","DETROIT, MICH"
"DUBUQUE, IOWA","DUBUQUE, IOWA"
"DULUTH-SUPERIOR, MINN-WIS","DULUTH-SUPERIOR, MINN-WIS"
"DURHAM, NC","RALEIGH-DURHAM, NC"
"EAU CLAIRE, WIS","EAU CLAIRE, WIS"
"EL PASO, TEX","EL PASO, TEX"
"ELKHART, IND","ELKHART, IND"
"ELMIRA, NY","ELMIRA, NY"
"ENID, OKLA","ENID, OKLA"
"ERIE, PA","ERIE, PA"
"EUGENE, OREG","EUGENE-SPRINGFIELD, OREG"
"EUGENE-SPRINGFIELD, OREG","EUGENE-SPRINGFIELD, OREG"
"EVANSVILLE, IND-KY","EVANSVILLE, IND-KY"
"FALL RIVER, MASS-RI","FALL RIVER, MASS-RI"
FARGO-MOOREHEAD ND-MN,"FARGO-MOORHEAD, ND-MN"
FARGO-MOORHEAD ND-MN,"FARGO-MOORHEAD, ND-MN"
"FARGO-MOORHEAD, NDAK-MINN","FARGO-MOORHEAD, ND-MN"
"FAYETTEVILLE, NC","FAYETTEVILLE, NC"
"FAYETTEVILLE-SPRINGDALE, ARK","FAYETTEVILLE-SPRINGDALE, ARK"
"FITCHBURG-LEOMINSTER, MASS","FITCHBURG-LEOMINSTER, MASS"
"FLINT, MICH","FLINT, MICH"
"FLORENCE, ALA","FLORENCE, ALA"
"FORT COLLINS, COLO","FORT COLLINS, COLO"
"FORT LAUDERDALE-HOLLYWOOD, FLA","FORT LAUDERDALE-HOLLYWOOD, FLA"
"FORT MEYERS-CAPE CORAL, FLA","FORT MEYERS-CAPE CORAL, FLA"
"FORT MYERS, FLA","FORT MEYERS-CAPE CORAL, FLA"
"FORT SMITH, ARK-OKLA","FORT SMITH, ARK-OKLA"
"FORT WAYNE, IND","FORT WAYNE, IND"
"FORT WORTH, TEX","DALLAS-FORT WORTH, TEX"
"FRESNO, CALIF","FRESNO, CALIF"
"GADSDEN, ALA","GADSDEN, ALA"
"GAINESVILLE, FLA","GAINESVILLE, FLA"
"GALVESTON-TEXAS CITY, TEX","GALVESTON-TEXAS CITY, TEX"
"GARY-HAMMOND-EAST CHICAGO, IND","GARY-HAMMOND-EAST CHICAGO, IND"
"GARY-HAMMOND-EAST CHICAGO,IND","GARY-HAMMOND-EAST CHICAGO, IND"
"GASTONIA, NC","CHARLOTTE-GASTONIA, NC"
"GRAND FORKS, ND-MN","GRAND FORKS, ND-MN"
"GRAND RAPIDS, MICH","GRAND RAPIDS, MICH"
"GREAT FALLS, MONT","GREAT FALLS, MONT"
"GREELEY, COLO","GREELEY, COLO"
"GREEN BAY, WIS","GREEN BAY, WIS"
"GREENSBORO-WINSTON-SALEM,","GREENSBORO-WINSTON-SALEM-HIGH POINT, NC"
"GREENSBORO-WINSTON-SALEM, HIGH POINT,","GREENSBORO-WINSTON-SALEM-HIGH POINT, NC"
"GREENSBORO-WINSTON-SALEM, HIGH POINT, NC","GREENSBORO-WINSTON-SALEM-HIGH POINT, NC"
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC","GREENSBORO-WINSTON-SALEM-HIGH POINT, NC"
"GREENVILLE, S C","GREENVILLE, SC"
"GREENVILLE, SC","GREENVILLE, SC"
"GREENVILLE-SPARTANBURG, SC","GREENVILLE-SPARTANBURG, SC"
"HAMILTON-MIDDLETOWN, OHIO","HAMILTON-MIDDLETOWN, OHIO"
"HARRISBURG, PA","HARRISBURG, PA"
"HARTFORD, CONN","HARTFORD, CONN"
"HONOLULU, HAWAII","HONOLULU, HAWAII"
"HOUSTON, TEX","HOUSTON, TEX"
HUNTINGTON-ASHLAND WV-KY-OH,"HUNTINGTON-ASHLAND, WVA-KY-OHIO"
"HUNTINGTON-ASHLAND, WVA-KY-OHIO","HUNTINGTON-ASHLAND, WVA-KY-OHIO"
"HUNTSVILLE, ALA","HUNTSVILLE, ALA"
"INDIANAPOLIS, IND","INDIANAPOLIS, IND"
"IOWA CITY, IOWA","IOWA CITY, IOWA"
"JACKSON, MICH","JACKSON, MICH"
"JACKSON, MISS","JACKSON, MISS"
"JACKSONVILLE, FLA","JACKSONVILLE, FLA"
"JANESVILLE-BELOIT, WIS","JANESVILLE-BELOIT, WIS"
"JERSEY CITY, NJ","JERSEY CITY, NJ"
JOHNSON CITY-KINGSPORT-BRISTOL TENN-VA,"JOHNSON CITY-KINGSPORT-BRISTOL, TENN-VA"
"JOHNSTOWN, PA","JOHNSTOWN, PA"
"JOSEPH, MO","JOSEPH, MO"
"KALAMAZOO, MICH","KALAMAZOO, MICH"
"KALAMAZOO-PORTAGE, MICH","KALAMAZOO-PORTAGE, MICH"
"KANKAKEE, ILL","KANKAKEE, ILL"
"KANSAS CITY, MO-KANS","KANSAS CITY, MO-KANS"
"KENOSHA, WIS","KENOSHA, WIS"
"KILLEEN-TEMPLE, TEX","KILLEEN-TEMPLE, TEX"
"KINGSPORT-BRISTOL, TENN-VA","KINGSPORT-BRISTOL, TENN-VA"
"KNOXVILLE, TENN","KNOXVILLE, TENN"
"KOKOMO, IND","KOKOMO, IND"
"LACROSSE, WIS","LACROSSE, WIS"
"LAFAYETTE, LA","LAFAYETTE, LA"
"LAFAYETTE-WEST LAFAYETTE, IND","LAFAYETTE-WEST LAFAYETTE, IND"
"LAKE CHARLES, LA","LAKE CHARLES, LA"
"LAKELAND-WINTER HAVEN, FLA","LAKELAND-WINTER HAVEN, FLA"
"LANCASTER, PA","LANCASTER, PA"
"LANSING, MICH","LANSING-EAST LANSING, MICH"
"LANSING-EAST LANSING, MICH","LANSING-EAST LANSING, MICH"
"LAREDO, TEX","LAREDO, TEX"
"LAS CRUCES, NMEX","LAS CRUCES, NMEX"
"LAS VEGAS, NEV","LAS VEGAS, NEV"
"LAWRENCE, KANS","LAWRENCE, KANS"
LAWRENCE-HAVERHILL MA-NH,"LAWRENCE-HAVERHILL, MASS-NH"
"LAWRENCE-HAVERHILL, MASS-NH","LAWRENCE-HAVERHILL, MASS-NH"
"LAWTON, OKLA","LAWTON, OKLA"
"LEWISTON-AUBURN, MAINE","LEWISTON-AUBURN, MAINE"
"LEXINGTON, KY","LEXINGTON-FAYETTE, KY"
"LEXINGTON-FAYETTE, KY","LEXINGTON-FAYETTE, KY"
"LIMA, OHIO","LIMA, OHIO"
"LINCOLN, NEBR","LINCOLN, NEBR"
"LITTLE ROCK-N LITTLE ROCK, ARK","LITTLE ROCK-NORTH LITTLE ROCK, ARK"
"LITTLE ROCK-NLITTLE ROCK, ARK","LITTLE ROCK-NORTH LITTLE ROCK, ARK"
"LITTLE ROCK-NORTH LITTLE ROCK, ARK","LITTLE ROCK-NORTH LITTLE ROCK, ARK"
"LONG BRANCH-ASBURY PARK, NJ","LONG BRANCH-ASBURY PARK, NJ"
"LONGVIEW, TEX","LONGVIEW, TEX"
"LONGVIEW-MARSHALL, TEX","LONGVIEW-MARSHALL, TEX"
"LORAIN-ELYRIA, OHIO","LORAIN-ELYRIA, OHIO"
"LOS ANGELES-LONG BEACH, CALIF","LOS ANGELES-LONG BEACH, CALIF"
LOUISVILLE KY-IND,"LOUISVILLE, KY-IND"
"LOUISVILLE, KY-IND","LOUISVILLE, KY-IND"
"LOWELL, MASS","LOWELL, MASS-NH"
"LOWELL, MASS-NH","LOWELL, MASS-NH"
"LUBBOCK, TEX","LUBBOCK, TEX"
"LYNCHBURG, VA","LYNCHBURG, VA"
"MACON, GA","MACON, GA"
"MADISON, WIS","MADISON, WIS"
"MANCHESTER, NH","MANCHESTER, NH"
"MANSFIELD, OHIO","MANSFIELD, OHIO"
"MCALLEN-PHARR-EDINBURG, TEX","MCALLEN-PHARR-EDINBURG, TEX"
"MELBOURNE-TITUSVILLE-COCOA, FLA","MELBOURNE-TITUSVILLE-COCOA, FLA"
"MEMPHIS, TENN-ARK","MEMPHIS, TENN-ARK"
"MEMPHIS, TENN-ARK-MISS","MEMPHIS, TENN-ARK-MISS"
"MERIDEN, CONN","MERIDEN, CONN"
"MIAMI, FLA","MIAMI, FLA"
"MIDLAND, TEX","MIDLAND, TEX"
"MILWAUKEE, WIS","MILWAUKEE, WIS"
"MINNEAPOLIS-ST PAUL, MINN","MINNEAPOLIS-ST PAUL, MN-WI"
"MINNEAPOLIS-ST PAUL, MN-WI","MINNEAPOLIS-ST PAUL, MN-WI"
"MOBILE, ALA","MOBILE, ALA"
"MODESTO, CALIF","MODESTO, CALIF"
"MONROE, LA","MONROE, LA"
"MONTGOMERY, ALA","MONTGOMERY, ALA"
"MUNCIE, IND","MUNCIE, IND"
"MUSKEGON-MUSKEGON HEIGHTS, MICH","MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH"
"MUSKEGON-MUSKEGON HGHTS, MICH","MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH"
MUSKEGON-NORTON SHORES-,"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH"
MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS,"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH"
"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH","MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH"
"NASHUA, NH","NASHUA, NH"
NASHVILLE AND DAVIDSON COUNTY TENN,"NASHVILLE-DAVIDSON, TENN"
"NASHVILLE, TENN","NASHVILLE-DAVIDSON, TENN"
"NASHVILLE-DAVIDSON, TENN","NASHVILLE-DAVIDSON, TENN"
NASSAU-SUFFOLK,"NASSAU-SUFFOLK, NY"
"NASSAU-SUFFOLK, NY","NASSAU-SUFFOLK, NY"
"NEW BEDFORD, MASS","NEW BEDFORD, MASS"
"NEW BRITAIN, CONN","NEW BRITAIN, CONN"
"NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE,","NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE, NJ"
"NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE, NJ","NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE, NJ"
"NEW HAVEN, CONN","NEW HAVEN-WEST HAVEN, CONN"
"NEW HAVEN-WEST HAVEN, CONN","NEW HAVEN-WEST HAVEN, CONN"
"NEW LONDON-GROTON-NORWICH, CONN","NEW LONDON-GROTON-NORWICH, CONN"
"NEW LONDON-NORWICH, CT-RI","NEW LONDON-GROTON-NORWICH, CONN"
"NEW ORLEANS, LA","NEW ORLEANS, LA"
"NEW YORK, NY","NEW YORK, NY-NJ"
"NEW YORK, NY-NJ","NEW YORK, NY-NJ"
"NEWARK, NJ","NEWARK, NJ"
"NEWPORT NEWS-HAMPTON, VA","NEWPORT NEWS-HAMPTON, VA"
"NORFOLK-PORTSMOUTH, VA","NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC"
NORFOLK-VIRGINIA BEACH-PORTSMOUT VA-NC,"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC"
NORFOLK-VIRGINIA BEACH-PORTSMOUTH VA-NC,"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC"
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA","NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC"
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC","NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC"
"NORTHEAST PENNSYLVANIA, PA","NORTHEAST PENNSYLVANIA, PA"
"NORWALK, CONN","NORWALK, CONN"
"NORWICH-GROTON- NEW LONDON, CONN","NEW LONDON-GROTON-NORWICH, CONN"
"NORWICH-GROTON-NEW LONDON, CONN","NEW LONDON-GROTON-NORWICH, CONN"
"ODESSA, TEX","ODESSA, TEX"
"OGDEN, UTAH","SALT LAKE CITY-OGDEN, UTAH"
"OKLAHOMA CITY, OKLA","OKLAHOMA CITY, OKLA"
"OMAHA, NEBR-IOWA","OMAHA, NEBR-IOWA"
"ORLANDO, FLA","ORLANDO, FLA"
"OWENSBORO, KENTUCKY","OWENSBORO, KY"
"OWENSBORO, KY","OWENSBORO, KY"
"OXNARD-SIMI VALLEY- VENTURA, CALIF","OXNARD-SIMI VALLEY- VENTURA, CALIF"
"OXNARD-SIMI VALLEY-VENTURA, CALIF","OXNARD-SIMI VALLEY- VENTURA, CALIF"
"OXNARD-VENTURA, CALIF","OXNARD-SIMI VALLEY- VENTURA, CALIF"
"PANAMA CITY, FLA","PANAMA CITY, FLA"
PARKERSBURG-MARIETTA WV OHIO,"PARKERSBURG-MARIETTA, WVA-OHIO"
PARKERSBURG-MARIETTA WV-OH,"PARKERSBURG-MARIETTA, WVA-OHIO"
"PARKERSBURG-MARIETTA, WVA-OHIO","PARKERSBURG-MARIETTA, WVA-OHIO"
"PASCAGOULA-MOSS POINT, MISS","PASCAGOULA-MOSS POINT, MISS"
"PATERSON-CLIFTON-PASSAIC, NJ","PATERSON-CLIFTON-PASSAIC, NJ"
"PENSACOLA, FLA","PENSACOLA, FLA"
"PEORIA, ILL","PEORIA, ILL"
"PETERSBURG-COL HTS-HOPEWELL, VA","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA"
"PETERSBURG-COLONIAL HEIGHTS-HOPEWELL,","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA"
"PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA"
"PETERSBURG-COLONIAL HGTS- HOPEWELL, VA","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA"
"PHILADELPHIA, PA-NJ","PHILADELPHIA, PA-NJ"
"PHOENIX, ARIZ","PHOENIX, ARIZ"
"PINE BLUFF, ARK","PINE BLUFF, ARK"
"PITTSBURGH, PA","PITTSBURGH, PA"
"PITTSFIELD, MASS","PITTSFIELD, MASS"
"PORTLAND, MAINE","PORTLAND, MAINE"
"PORTLAND, OREG-WASH","PORTLAND, OREG-WASH"
"POUGHKEEPSIE, NY","POUGHKEEPSIE, NY"
"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS","PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS"
"PROVIDENCE-WARWICK-PAWTUCKET, RI-MASS","PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS"
PROVIDENCE-WARWICK-PAWTUCKET-RI-MASS,"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS"
"PROVO-OREM, UTAH","PROVO-OREM, UTAH"
"PUEBLO, COLO","PUEBLO, COLO"
"RACINE, WIS","RACINE, WIS"
"RALEIGH, NC","RALEIGH-DURHAM, NC"
"RALEIGH-DURHAM, NC","RALEIGH-DURHAM, NC"
"RAPID CITY, SDAK","RAPID CITY, SDAK"
"READING, PA","READING, PA"
"RENO, NEV","RENO, NEV"
"RICHLAND-KENNEWICK, WASH","RICHLAND-KENNEWICK-PASCO, WASH"
"RICHLAND-KENNEWICK-PASCO, WASH","RICHLAND-KENNEWICK-PASCO, WASH"
"RICHMOND, VA","RICHMOND, VA"
"RIVERSIDE-SAN BERNADINO-ONTARIO, CALIF","RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF"
RIVERSIDE-SAN BERNARDINO-,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF"
"RIVERSIDE-SAN BERNARDINO-ONTARIO,","RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF"
"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF","RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF"
"ROANOKE, VA","ROANOKE, VA"
"ROCHESTER, MINN","ROCHESTER, MINN"
"ROCHESTER, NY","ROCHESTER, NY"
"ROCKFORD, ILL","ROCKFORD, ILL"
"SACRAMENTO, CALIF","SACRAMENTO, CALIF"
"SAGINAW, MICH","SAGINAW, MICH"
"SALEM, OREG","SALEM, OREG"
"SALINAS-MONTEREY, CALIF","SALINAS-SEASIDE-MONTEREY, CALIF"
"SALINAS-SEASIDE-MONTEREY, CALIF","SALINAS-SEASIDE-MONTEREY, CALIF"
"SALT LAKE CITY, UTAH","SALT LAKE CITY-OGDEN, UTAH"
"SALT LAKE CITY-OGDEN, UTAH","SALT LAKE CITY-OGDEN, UTAH"
"SAN ANGELO, TEX","SAN ANGELO, TEX"
"SAN ANTONIO, TEX","SAN ANTONIO, TEX"
"SAN BERNARDINO-RIVERSIDE-ONTARIO, CALIF","RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF"
"SAN DIEGO, CALIF","SAN DIEGO, CALIF"
"SAN FRANCISCO, CALIF","SAN FRANCISCO-OAKLAND, CALIF"
SAN FRANCISCO-OAKLAND CALIF,"SAN FRANCISCO-OAKLAND, CALIF"
"SAN FRANCISCO-OAKLAND, CALIF","SAN FRANCISCO-OAKLAND, CALIF"
"SAN JOSE, CALIF","SAN JOSE, CALIF"
"SANTA BARBARA, CALIF","SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF"
"SANTA BARBARA-SANTA MARIA-LOMPOC,","SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF"
"SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF","SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF"
"SANTA CRUZ, CALIF","SANTA CRUZ, CALIF"
"SANTA ROSA, CALIF","SANTA ROSA, CALIF"
"SARASOTA, FLA","SARASOTA, FLA"
"SAVANNAH, GA","SAVANNAH, GA"
"SCRANTON, PA","SCRANTON, PA"
"SEATTLE-EVERETT, WASH","SEATTLE-EVERETT, WASH"
"SHERMAN-DENISON, TEX","SHERMAN-DENISON, TEX"
"SHREVEPORT, LA","SHREVEPORT, LA"
"SIOUX CITY, IOWA-NEBR","SIOUX CITY, IOWA-NEBR"
"SIOUX FALLS, SDAK","SIOUX FALLS, SDAK"
"SOUTH BEND, IND","SOUTH BEND, IND"
"SPARTANBURG, SC","SPARTANBURG, SC"
"SPOKANE, WASH","SPOKANE, WASH"
"SPRINGFIELD, ILL","SPRINGFIELD, ILL"
"SPRINGFIELD, MO","SPRINGFIELD, MO"
"SPRINGFIELD, OHIO","SPRINGFIELD, OHIO"
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS CONN","SPRINGFIELD-CHICOPEE-HOLYOKE, MASS CONN"
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN","SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN"
"ST CLOUD, MINN","ST CLOUD, MINN"
"ST JOSEPH, MO","ST JOSEPH, MO"
"ST LOUIS, MO-ILL","ST LOUIS, MO-ILL"
"STAMFORD, CONN","STAMFORD, CONN"
STEUBENVILLE-WEIRTON OH-WV,"STEUBENVILLE-WEIRTON, OHIO-WVA"
"STEUBENVILLE-WEIRTON, OHIO-WVA","STEUBENVILLE-WEIRTON, OHIO-WVA"
"STOCKTON, CALIF","STOCKTON, CALIF"
"SYRACUSE, NY","SYRACUSE, NY"
"TACOMA, WASH","TACOMA, WASH"
"TALLAHASSEE, FLA","TALLAHASSEE, FLA"
"TAMPA-ST PETERSBURG, FLA","TAMPA-ST PETERSBURG, FLA"
"TERRE HAUTE, IND","TERRE HAUTE, IND"
"TEXARKANA, TEX-ARK","TEXARKANA, TX-TEXARKANA, AR"
"TEXARKANA, TX-TEXARKANA, AR","TEXARKANA, TX-TEXARKANA, AR"
"TOLEDO, OHIO-MICH","TOLEDO, OHIO-MICH"
"TOPEKA, KANS","TOPEKA, KANS"
"TRENTON, NJ","TRENTON, NJ"
"TUCSON, ARIZ","TUCSON, ARIZ"
"TULSA, OKLA","TULSA, OKLA"
"TUSCALOOSA, ALA","TUSCALOOSA, ALA"
"TYLER, TEX","TYLER, TEX"
"UTICA-ROME, NY","UTICA-ROME, NY"
"VALLEJO-FAIRFIELD-NAPA, CALIF","VALLEJO-FAIRFIELD-NAPA, CALIF"
"VALLEJO-NAPA, CALIF","VALLEJO-FAIRFIELD-NAPA, CALIF"
"VINELAND-MILLV-BRIDGETON, NJ","VINELAND-MILLVILLE-BRIDGETON, NJ"
"VINELAND-MILLVILLE-BRIDGETON,","VINELAND-MILLVILLE-BRIDGETON, NJ"
"VINELAND-MILLVILLE-BRIDGETON, NJ","VINELAND-MILLVILLE-BRIDGETON, NJ"
"WACO, TEX","WACO, TEX"
"WASHINGTON, DC-MD-VA","WASHINGTON, DC-MD-VA"
"WATERBURY, CONN","WATERBURY, CONN"
"WATERLOO, IOWA","WATERLOO-CEDAR FALLS, IOWA"
"WATERLOO-CEDAR FALLS, IOWA","WATERLOO-CEDAR FALLS, IOWA"
"WEST PALM BEACH, FLA","WEST PALM BEACH-BOCA RATON, FLA"
"WEST PALM BEACH-BOCA RATON, FLA","WEST PALM BEACH-BOCA RATON, FLA"
"WHEELING, W VA-OHIO","WHEELING, WVA-OHIO"
"WHEELING, WVA-OHIO","WHEELING, WVA-OHIO"
"WICHITA FALLS, TEX","WICHITA FALLS, TEX"
"WICHITA, KANS","WICHITA, KANS"
"WILKES-BARRE-HAZELTON, PA","WILKES-BARRE-HAZELTON, PA"
"WILKES-BARRE-HAZLETON, PA","WILKES-BARRE-HAZELTON, PA"
"WILLIAMSPORT, PA","WILLIAMSPORT, PA"
"WILMINGTON, DEL-NJ-MD","WILMINGTON, DEL-NJ-MD"
"WILMINGTON, NC","WILMINGTON, NC"
"WORCESTER, MASS","WORCESTER, MASS"
"YAKIMA, WASH","YAKIMA, WASH"
"YORK, PA","YORK, PA"
"YOUNGSTOWN-WARREN, OHIO","YOUNGSTOWN-WARREN, OHIO"
